-21.16050000	9.04620000	-0.10500000
-21.11900000	9.01230000	-0.07680000
-21.12770000	9.01640000	-0.09070000
-21.11060000	8.99350000	-0.07710000
-21.11620000	8.99630000	-0.09100000
-21.09590000	8.98830000	-0.11630000
-21.08530000	8.98690000	-0.22080000
-21.07480000	8.98520000	-0.31130000
-21.09590000	8.99470000	-0.32590000
-21.06890000	8.98810000	-0.47170000
-21.07790000	8.99390000	-0.52420000
-21.07190000	8.99170000	-0.53630000
-21.13840000	8.98640000	0.06410000
-21.10990000	8.97490000	0.03730000
-21.11010000	8.97540000	0.02310000
-21.10690000	8.97670000	-0.07740000
-21.08420000	8.96740000	-0.09120000
-21.09530000	8.97250000	-0.10560000
-21.08580000	8.96880000	-0.11660000
-21.08210000	8.96750000	-0.12930000
-21.07750000	8.96600000	-0.14220000
-21.07810000	8.96780000	-0.19410000
-21.06770000	8.96410000	-0.22090000
-21.08080000	8.97220000	-0.30010000
-21.06400000	8.96540000	-0.31140000
-21.08410000	8.97440000	-0.32600000
-21.05300000	8.96160000	-0.33910000
-21.03460000	8.95830000	-0.47120000
-21.05830000	8.96890000	-0.48650000
-21.05470000	8.96830000	-0.51100000
-21.05510000	8.96890000	-0.52390000
-21.06280000	8.97260000	-0.53640000
-21.02710000	8.95790000	-0.54950000
-21.03600000	8.96420000	-0.61550000
-21.01440000	8.96130000	-0.77370000
-21.05600000	8.99690000	-1.16860000
-21.29050000	9.06210000	0.70120000
-21.22810000	9.04060000	0.36860000
-21.19930000	9.03040000	0.26560000
-21.11880000	9.00320000	-0.03610000
-21.13250000	8.96860000	0.06380000
-21.11670000	8.96250000	0.03700000
-21.12190000	8.96510000	0.02280000
-21.08910000	8.95320000	-0.05300000
