[23.5.2014 16:37:36] [Info]		Открывается файл
[23.5.2014 16:37:37] [Info]		Input string was not in a correct format.
[23.5.2014 16:37:37] [Info]		Input string was not in a correct format.
[23.5.2014 16:37:37] [Info]		Input string was not in a correct format.
[23.5.2014 16:37:37] [Info]		Input string was not in a correct format.
[23.5.2014 16:37:37] [Info]		Input string was not in a correct format.
[23.5.2014 16:37:37] [Info]		Input string was not in a correct format.
[23.5.2014 16:37:37] [Info]		Input string was not in a correct format.
[23.5.2014 16:37:37] [Info]		Input string was not in a correct format.
[23.5.2014 16:37:37] [Info]		Input string was not in a correct format.
[23.5.2014 16:37:37] [Info]		Input string was not in a correct format.
[23.5.2014 16:37:37] [Info]		Input string was not in a correct format.
[23.5.2014 16:37:37] [Info]		Input string was not in a correct format.
[23.5.2014 16:37:37] [Info]		Input string was not in a correct format.
[23.5.2014 16:37:37] [Info]		Input string was not in a correct format.
[23.5.2014 16:37:37] [Info]		Input string was not in a correct format.
[23.5.2014 16:37:37] [Info]		Input string was not in a correct format.
[23.5.2014 16:37:37] [Info]		Input string was not in a correct format.
[23.5.2014 16:37:37] [Info]		Input string was not in a correct format.
[23.5.2014 16:37:37] [Info]		Input string was not in a correct format.
[23.5.2014 16:37:37] [Info]		Input string was not in a correct format.
[23.5.2014 16:37:37] [Info]		Input string was not in a correct format.
[23.5.2014 16:37:37] [Info]		Input string was not in a correct format.
[23.5.2014 16:37:37] [Info]		Input string was not in a correct format.
[23.5.2014 16:37:37] [Info]		Input string was not in a correct format.
[23.5.2014 16:37:37] [Info]		Input string was not in a correct format.
[23.5.2014 16:37:37] [Info]		Input string was not in a correct format.
[23.5.2014 16:37:37] [Info]		Input string was not in a correct format.
[23.5.2014 16:37:37] [Info]		Input string was not in a correct format.
[23.5.2014 16:37:37] [Info]		Input string was not in a correct format.
[23.5.2014 16:37:37] [Info]		Input string was not in a correct format.
[23.5.2014 16:37:37] [Info]		Input string was not in a correct format.
[23.5.2014 16:37:37] [Info]		Input string was not in a correct format.
[23.5.2014 16:37:37] [Info]		Input string was not in a correct format.
[23.5.2014 16:37:37] [Info]		Input string was not in a correct format.
[23.5.2014 16:37:37] [Info]		Input string was not in a correct format.
[23.5.2014 16:37:37] [Info]		Input string was not in a correct format.
[23.5.2014 16:37:37] [Info]		Input string was not in a correct format.
[23.5.2014 16:37:37] [Info]		Input string was not in a correct format.
[23.5.2014 16:37:37] [Info]		Input string was not in a correct format.
[23.5.2014 16:37:37] [Info]		Input string was not in a correct format.
[23.5.2014 16:37:37] [Info]		Input string was not in a correct format.
[23.5.2014 16:37:37] [Info]		Input string was not in a correct format.
[23.5.2014 16:37:37] [Info]		Input string was not in a correct format.
[23.5.2014 16:37:37] [Info]		Input string was not in a correct format.
[23.5.2014 16:37:37] [Info]		Input string was not in a correct format.
[23.5.2014 16:37:37] [Info]		Input string was not in a correct format.
[23.5.2014 16:37:37] [Info]		Input string was not in a correct format.
[23.5.2014 16:37:37] [Info]		Input string was not in a correct format.
[23.5.2014 16:37:37] [Info]		Input string was not in a correct format.
[23.5.2014 16:37:37] [Info]		Input string was not in a correct format.
[23.5.2014 16:37:37] [Info]		Input string was not in a correct format.
[23.5.2014 16:37:37] [Info]		Input string was not in a correct format.
[23.5.2014 16:37:37] [Info]		Input string was not in a correct format.
[23.5.2014 16:37:37] [Info]		Input string was not in a correct format.
[23.5.2014 16:37:37] [Info]		Input string was not in a correct format.
[23.5.2014 16:37:37] [Info]		Input string was not in a correct format.
[23.5.2014 16:37:37] [Info]		Input string was not in a correct format.
[23.5.2014 16:37:37] [Info]		Input string was not in a correct format.
[23.5.2014 16:37:37] [Info]		Input string was not in a correct format.
[23.5.2014 16:37:37] [Info]		Input string was not in a correct format.
[23.5.2014 16:37:37] [Info]		Input string was not in a correct format.
[23.5.2014 16:37:37] [Info]		Input string was not in a correct format.
[23.5.2014 16:37:37] [Info]		Input string was not in a correct format.
[23.5.2014 16:37:37] [Info]		Input string was not in a correct format.
[23.5.2014 16:37:37] [Info]		Input string was not in a correct format.
[23.5.2014 16:37:37] [Info]		Input string was not in a correct format.
[23.5.2014 16:37:37] [Info]		Input string was not in a correct format.
[23.5.2014 16:37:37] [Info]		Input string was not in a correct format.
[23.5.2014 16:37:37] [Info]		Input string was not in a correct format.
[23.5.2014 16:37:37] [Info]		Input string was not in a correct format.
[23.5.2014 16:37:37] [Info]		Input string was not in a correct format.
[23.5.2014 16:37:37] [Info]		Input string was not in a correct format.
[23.5.2014 16:37:37] [Info]		Input string was not in a correct format.
[23.5.2014 16:37:37] [Info]		Input string was not in a correct format.
[23.5.2014 16:37:37] [Info]		Input string was not in a correct format.
[23.5.2014 16:37:37] [Info]		Input string was not in a correct format.
[23.5.2014 16:37:37] [Info]		Input string was not in a correct format.
[23.5.2014 16:37:37] [Info]		Input string was not in a correct format.
[23.5.2014 16:37:37] [Info]		Input string was not in a correct format.
[23.5.2014 16:37:37] [Info]		Input string was not in a correct format.
[23.5.2014 16:37:37] [Info]		Input string was not in a correct format.
[23.5.2014 16:37:37] [Info]		Input string was not in a correct format.
[23.5.2014 16:37:37] [Info]		Input string was not in a correct format.
[23.5.2014 16:37:37] [Info]		Input string was not in a correct format.
[23.5.2014 16:37:37] [Info]		Input string was not in a correct format.
[23.5.2014 16:37:37] [Info]		Input string was not in a correct format.
[23.5.2014 16:37:37] [Info]		Input string was not in a correct format.
[23.5.2014 16:37:37] [Info]		Input string was not in a correct format.
[23.5.2014 16:37:37] [Info]		Input string was not in a correct format.
[23.5.2014 16:37:37] [Info]		Input string was not in a correct format.
[23.5.2014 16:37:37] [Info]		Input string was not in a correct format.
[23.5.2014 16:37:37] [Info]		Input string was not in a correct format.
[23.5.2014 16:37:37] [Info]		Input string was not in a correct format.
[23.5.2014 16:37:37] [Info]		Input string was not in a correct format.
[23.5.2014 16:37:37] [Info]		Input string was not in a correct format.
[23.5.2014 16:37:37] [Info]		Input string was not in a correct format.
[23.5.2014 16:37:37] [Info]		Input string was not in a correct format.
[23.5.2014 16:37:37] [Info]		Input string was not in a correct format.
[23.5.2014 16:37:37] [Info]		Input string was not in a correct format.
[23.5.2014 16:37:37] [Info]		Input string was not in a correct format.
[23.5.2014 16:37:37] [Info]		Input string was not in a correct format.
[23.5.2014 16:37:37] [Info]		Input string was not in a correct format.
[23.5.2014 16:37:37] [Info]		Input string was not in a correct format.
[23.5.2014 16:37:37] [Info]		Input string was not in a correct format.
[23.5.2014 16:37:37] [Info]		Input string was not in a correct format.
[23.5.2014 16:37:37] [Info]		Input string was not in a correct format.
[23.5.2014 16:37:37] [Info]		Input string was not in a correct format.
[23.5.2014 16:37:37] [Info]		Input string was not in a correct format.
[23.5.2014 16:37:37] [Info]		Input string was not in a correct format.
[23.5.2014 16:37:37] [Info]		Input string was not in a correct format.
[23.5.2014 16:37:37] [Info]		Input string was not in a correct format.
[23.5.2014 16:37:37] [Info]		Input string was not in a correct format.
[23.5.2014 16:37:37] [Info]		Input string was not in a correct format.
[23.5.2014 16:37:37] [Info]		Input string was not in a correct format.
[23.5.2014 16:37:37] [Info]		Input string was not in a correct format.
[23.5.2014 16:37:37] [Info]		Input string was not in a correct format.
[23.5.2014 16:37:37] [Info]		Input string was not in a correct format.
[23.5.2014 16:37:37] [Info]		Input string was not in a correct format.
[23.5.2014 16:37:37] [Info]		Input string was not in a correct format.
